,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,skew,excess_kurtosis
LIMIT_BAL,30000.0,167484.323,129747.662,10000.0,10000.0,20000.0,50000.0,140000.0,240000.0,430000.0,500000.0,1000000.0,0.993,0.536
AGE,30000.0,35.486,9.218,21.0,22.0,23.0,28.0,34.0,41.0,53.0,60.0,79.0,0.732,0.044
BILL_AMT1,30000.0,51223.331,73635.861,-165580.0,-81.0,0.0,3558.75,22381.5,67091.0,201203.05,350110.68,964511.0,2.664,9.806
BILL_AMT2,30000.0,49179.075,71173.769,-69777.0,-200.0,0.0,2984.75,21200.0,64006.25,194792.2,337495.28,983931.0,2.705,10.303
BILL_AMT3,30000.0,47013.155,69349.387,-157264.0,-200.0,0.0,2666.25,20088.5,60164.75,187821.05,325030.39,1664089.0,3.088,19.783
BILL_AMT4,30000.0,43262.949,64332.856,-170000.0,-212.02,0.0,2326.75,19052.0,54506.0,174333.35,304997.27,891586.0,2.822,11.309
BILL_AMT5,30000.0,40311.401,60797.156,-81334.0,-232.01,0.0,1763.0,18104.5,50190.5,165794.3,285868.33,927171.0,2.876,12.306
BILL_AMT6,30000.0,38871.76,59554.108,-339603.0,-331.03,0.0,1256.0,17071.0,49198.25,161912.0,279505.06,961664.0,2.847,12.271
PAY_AMT1,30000.0,5663.58,16563.28,0.0,0.0,0.0,1000.0,2100.0,5006.0,18428.2,66522.18,873552.0,14.668,415.255
PAY_AMT2,30000.0,5921.164,23040.87,0.0,0.0,0.0,833.0,2009.0,5000.0,19004.35,76651.02,1684259.0,30.454,1641.632
PAY_AMT3,30000.0,5225.682,17606.961,0.0,0.0,0.0,390.0,1800.0,4505.0,17589.4,70000.0,896040.0,17.217,564.311
PAY_AMT4,30000.0,4826.077,15666.16,0.0,0.0,0.0,296.0,1500.0,4013.25,16014.95,67054.44,621000.0,12.905,277.334
PAY_AMT5,30000.0,4799.388,15278.306,0.0,0.0,0.0,252.5,1500.0,4031.5,16000.0,65607.56,426529.0,11.127,180.064
PAY_AMT6,30000.0,5215.503,17777.466,0.0,0.0,0.0,117.75,1500.0,4000.0,17343.8,82619.05,528666.0,10.641,167.161
