ID,default,split
27421,0,train
15351,1,train
26642,0,train
21619,0,train
11571,1,train
26704,0,train
25851,1,train
13507,0,train
6581,0,train
18955,0,train
21301,0,train
6459,0,train
19718,0,train
19424,0,train
2561,1,train
4930,0,train
4669,0,train
25342,0,train
22997,0,train
20139,0,train
28001,1,train
5372,1,train
8284,0,train
15068,0,train
9984,0,train
28568,0,train
16086,1,train
14567,1,train
8085,1,train
17657,0,train
6788,0,train
20586,0,train
19277,0,train
21306,0,train
499,0,train
3048,0,train
5514,0,train
27108,0,train
14204,1,train
16099,1,train
21247,1,train
23184,0,train
6938,0,train
4568,0,train
28403,1,train
11644,1,train
9041,1,train
22519,0,train
5639,0,train
1048,1,train
7992,0,train
19579,0,train
2739,0,train
3883,0,train
1606,0,train
8526,0,train
24681,0,train
3206,1,train
17087,0,train
21395,0,train
24300,0,train
21455,0,train
18917,0,train
6666,0,train
8890,0,train
29687,0,train
18893,1,train
18395,1,train
17727,0,train
29754,0,train
1313,0,train
24604,1,train
1813,1,train
4129,0,train
11559,0,train
1907,0,train
22126,1,train
6289,0,train
20569,1,train
25562,0,train
6668,0,train
2745,0,train
15461,0,train
6583,1,train
25673,0,train
22481,0,train
16415,0,train
22689,1,train
21854,1,train
16554,0,train
26524,0,train
11186,0,train
20619,0,train
14161,1,train
5459,1,train
16730,1,train
2593,0,train
24735,0,train
4940,0,train
5769,0,train
27419,0,train
15006,0,train
19211,0,train
4814,0,train
21614,0,train
17804,0,train
8647,0,train
12858,0,train
20039,0,train
7749,0,train
27739,0,train
6563,0,train
13300,0,train
7603,1,train
21810,1,train
14101,0,train
10178,0,train
16295,1,train
20368,1,train
13595,0,train
26733,0,train
2469,0,train
10624,0,train
5247,0,train
9544,1,train
2169,0,train
5538,0,train
16671,0,train
21313,1,train
4408,0,train
13316,1,train
4926,0,train
22045,0,train
18548,0,train
1839,0,train
8060,0,train
8551,0,train
5191,0,train
9722,1,train
8136,0,train
23635,0,train
11685,0,train
22678,0,train
2717,0,train
19961,1,train
19994,0,train
18722,0,train
5913,1,train
12399,0,train
2533,0,train
20244,0,train
118,1,train
25248,0,train
26552,1,train
2783,0,train
21278,0,train
24961,0,train
8606,0,train
286,0,train
10277,0,train
24850,0,train
22821,0,train
3684,0,train
5543,0,train
22104,0,train
14595,0,train
12764,0,train
3002,0,train
24834,0,train
23628,0,train
25255,1,train
10656,1,train
29331,0,train
15717,0,train
4855,0,train
9480,1,train
8067,0,train
11011,1,train
1058,0,train
10518,0,train
8493,1,train
9478,1,train
21201,0,train
27997,0,train
4426,1,train
15416,0,train
10864,0,train
18010,1,train
24849,0,train
23956,0,train
7736,0,train
23155,0,train
6700,0,train
28370,0,train
16181,0,train
326,0,train
4590,0,train
22594,0,train
22861,1,train
11397,0,train
25038,0,train
29482,0,train
13304,0,train
16896,1,train
9950,0,train
29369,0,train
15866,0,train
27150,1,train
16584,0,train
17281,0,train
24858,0,train
1070,0,train
27832,0,train
24323,0,train
27719,1,train
26155,0,train
26983,0,train
23456,0,train
19272,0,train
20290,0,train
6135,1,train
20384,0,train
24025,1,train
11216,0,train
25553,1,train
24707,0,train
27432,1,train
12807,0,train
1653,0,train
29835,0,train
10980,1,train
4600,0,train
15053,1,train
24100,0,train
10586,0,train
11404,0,train
15387,0,train
14877,0,train
13626,0,train
26641,1,train
23417,0,train
5881,0,train
21326,1,train
25033,1,train
23352,0,train
24489,0,train
8009,0,train
5816,1,train
6930,1,train
23866,1,train
14014,1,train
24022,0,train
8254,0,train
2951,0,train
20913,0,train
29673,0,train
6028,0,train
21075,0,train
19204,0,train
8872,0,train
28396,0,train
5511,0,train
17989,1,train
20267,1,train
26586,1,train
29546,1,train
7697,1,train
17160,1,train
24662,0,train
992,1,train
25341,0,train
10279,1,train
14354,0,train
16365,0,train
29007,0,train
12079,0,train
8665,0,train
12920,0,train
24994,0,train
24986,0,train
4148,1,train
11157,0,train
15484,0,train
2825,1,train
469,0,train
15887,0,train
17199,0,train
586,0,train
1046,0,train
17408,0,train
26827,1,train
12103,0,train
28656,1,train
4118,0,train
3127,0,train
8528,0,train
12985,0,train
4504,0,train
10286,0,train
18097,1,train
2286,0,train
21363,0,train
26392,0,train
2671,0,train
24758,0,train
3387,0,train
22614,0,train
26557,1,train
8290,0,train
19580,0,train
16691,1,train
4627,0,train
11662,1,train
3985,0,train
20424,0,train
25835,1,train
26508,0,train
10532,0,train
19385,0,train
21215,0,train
22988,0,train
18842,0,train
15976,1,train
14156,0,train
10205,0,train
11502,0,train
13367,0,train
15629,0,train
2385,0,train
22579,0,train
15223,0,train
6405,0,train
13951,0,train
1508,0,train
27913,1,train
1927,0,train
5814,0,train
8250,1,train
20459,0,train
13062,0,train
24217,1,train
827,0,train
6305,1,train
11134,0,train
14857,0,train
23983,0,train
4654,0,train
10654,0,train
1202,0,train
7247,0,train
23109,0,train
24176,0,train
10135,0,train
3378,0,train
9421,0,train
26361,0,train
18966,0,train
20284,0,train
2365,0,train
23126,1,train
20341,0,train
23397,0,train
15633,1,train
3360,0,train
14186,0,train
